Unnamed: 0,Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,year,discipline
84,1479,3:33.69,Mehdi BAALA,17 AUG 1978,FRA,9,"Stade Louis II, Monaco (MON)",22 JUL 2011,1193,2011,men_1500m
85,1479,3:33.69,Hamza DRIOUCH,16 NOV 1994,QAT,9,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,1193,2012,men_1500m
86,1479,3:33.69,Johan CRONJE,13 APR 1982,RSA,12,"Stade Louis II, Monaco (MON)",18 JUL 2014,1193,2014,men_1500m
87,1479,3:33.69,Matthew CENTROWITZ,18 OCT 1989,USA,9sf2,"National Stadium, Tokyo (JPN)",05 AUG 2021,1193,2021,men_1500m
88,1489,3:33.70,Laban ROTICH,20 JAN 1969,KEN,2,Moskva (RUS),07 JUN 1996,1193,1996,men_1500m
89,1489,3:33.70,Alan WEBB,13 JAN 1983,USA,4,"FBK Stadium, Hengelo (NED)",31 MAY 2004,1193,2004,men_1500m
90,1489,3:33.70,Mohamed MOUSTAOUI,02 APR 1985,MAR,4,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2011,1193,2011,men_1500m
91,1489,3:33.7h,Silas KIPLAGAT,20 AUG 1989,KEN,1,Nairobi (KEN),13 JUL 2013,1193,2013,men_1500m
92,1489,3:33.70,Mekonnen GEBREMEDHIN,11 OCT 1988,ETH,9,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1193,2014,men_1500m
93,1489,3:33.70,Ismael DEBJANI,25 SEP 1990,BEL,3,"FBK Stadium, Hengelo (NED)",11 JUN 2017,1193,2017,men_1500m
94,1489,3:33.70,Kalle BERGLUND,11 MAR 1996,SWE,9,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019,1193,2019,men_1500m
95,1496,3:33.71,Steve SCOTT,05 MAY 1956,USA,3,Köln (GER),17 AUG 1986,1192,1986,men_1500m
96,1496,3:33.71,Driss MAAZOUZI,15 OCT 1969,FRA,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1192,2001,men_1500m
97,1496,3:33.71,Isaac Kiprono SONGOK,25 APR 1984,KEN,2,"AC Gianni Brera, Milano (ITA)",03 JUN 2003,1192,2003,men_1500m
98,1496,3:33.71,Suleiman Kipses SIMOTWO,21 APR 1980,KEN,3f1,Stockholm (SWE),26 JUL 2005,1192,2005,men_1500m
99,1496,3:33.71,Alex KIPCHIRCHIR,26 NOV 1984,KEN,3,"Stade Louis II, Monaco (MON)",10 SEP 2005,1192,2005,men_1500m
0,1496,3:33.71,Suleiman Kipses SIMOTWO,21 APR 1980,KEN,4,"Stade Louis II, Monaco (MON)",10 SEP 2005,1192,2005,men_1500m
1,1496,3:33.71,Hicham BELLANI,15 SEP 1979,MAR,6,"Olympic Stadium, Athina (GRE)",02 JUL 2007,1192,2007,men_1500m
2,1496,3:33.71,Fouad EL KAAM,27 MAY 1988,MAR,2f2,Oordegem (BEL),06 JUL 2013,1192,2013,men_1500m
3,1496,3:33.71,Gilbert KWEMOI,03 OCT 1997,KEN,3f1,Heusden-Zolder (BEL),16 JUL 2016,1192,2016,men_1500m
4,1505,3:33.72,Seneca LASSITER,12 MAR 1977,USA,2,Nice (FRA),17 JUL 1999,1192,1999,men_1500m
5,1505,3:33.72,Juan Carlos HIGUERO,03 AUG 1978,ESP,10,Bruxelles (BEL),30 AUG 2002,1192,2002,men_1500m
6,1505,3:33.72,Juan Carlos HIGUERO,03 AUG 1978,ESP,8,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1192,2005,men_1500m
7,1505,3:33.72,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,5,"Stade Louis II, Monaco (MON)",10 SEP 2005,1192,2005,men_1500m
8,1505,3:33.72,Nicholas Kiptanui KEMBOI,18 DEC 1989,KEN,1,Zürich (SUI),18 AUG 2006,1192,2006,men_1500m
9,1505,3:33.72,Filip INGEBRIGTSEN,20 APR 1993,NOR,10,"Stade Louis II, Monaco (MON)",15 JUL 2016,1192,2016,men_1500m
10,1505,3:33.72,Ignacio FONTES,22 JUN 1998,ESP,1f1,Castellón (ESP),24 AUG 2020,1192,2020,men_1500m
11,1512,3:33.73,Noureddine MORCELI,28 FEB 1970,ALG,1,"Ullevi Stadium, Göteborg (SWE)",13 AUG 1995,1192,1995,men_1500m
12,1512,3:33.73,Laban ROTICH,20 JAN 1969,KEN,5sf1,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1192,1996,men_1500m
13,1512,3:33.73,Reyes ESTÉVEZ,02 AUG 1976,ESP,11,"Stade Louis II, Monaco (MON)",16 AUG 1997,1192,1997,men_1500m
14,1512,3:33.73,Mohamed YAGOUB BABIKER,02 SEP 1977,SUD,10,Bruxelles (BEL),22 AUG 1997,1192,1997,men_1500m
15,1512,3:33.73,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Stuttgart (GER),06 JUN 1999,1192,1999,men_1500m
16,1512,3:33.73,David LELEI,10 MAY 1971,KEN,9,"Stade de France, Paris-St-Denis (FRA)",21 JUL 1999,1192,1999,men_1500m
17,1512,3:33.73,David KIPLAK,27 DEC 1981,KEN,3,Doha (QAT),15 MAY 2002,1192,2002,men_1500m
18,1512,3:33.73,Mohamed MOUSTAOUI,02 APR 1985,MAR,1,Heusden-Zolder (BEL),28 JUL 2007,1192,2007,men_1500m
19,1512,3:33.73,Gideon GATHIMBA,09 MAR 1980,KEN,4,"Stade Louis II, Monaco (MON)",29 JUL 2008,1192,2008,men_1500m
20,1512,3:33.73,Zebene ALEMAYEHU,04 SEP 1992,ETH,3f2,Oordegem (BEL),06 JUL 2013,1192,2013,men_1500m
21,1522,3:33.74,Willi WÜLBECK,18 DEC 1954,FRG,4,Koblenz (GER),27 AUG 1980,1192,1980,men_1500m
22,1522,3:33.74,Gennaro DI NAPOLI,05 MAR 1968,ITA,1,Roma (ITA),17 JUL 1991,1192,1991,men_1500m
23,1522,3:33.74,Isaac Kiprono SONGOK,25 APR 1984,KEN,3,Stockholm (SWE),05 AUG 2003,1192,2003,men_1500m
24,1522,3:33.74,Belal Mansoor ALI,17 OCT 1988,BRN,2,"Letzigrund, Zürich (SUI)",28 AUG 2009,1192,2009,men_1500m
25,1522,3:33.74,Melkeneh AZIZE,01 JAN 2005,ETH,5,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1192,2021,men_1500m
26,1522,3:33.74,Eliud KIPSANG,09 SEP 1996,KEN,1f1,"Cougar Athletic Stadium, Azusa, CA (USA)",15 APR 2022,1192,2022,men_1500m
27,1528,3:33.75,Jens-Peter HEROLD,02 JUN 1965,GDR,2f1,Zürich (SUI),15 AUG 1990,1192,1990,men_1500m
28,1528,3:33.75,Rui SILVA,03 AUG 1977,POR,5,Paris (FRA),04 JUL 2003,1192,2003,men_1500m
29,1528,3:33.75,Youssef BABA,07 AUG 1979,MAR,5,Doha (QAT),13 MAY 2005,1192,2005,men_1500m
30,1528,3:33.75,Yoann KOWAL,28 MAY 1987,FRA,7,Paris (FRA),08 JUL 2011,1192,2011,men_1500m
31,1532,3:33.76,Andrés Manuel DÍAZ,12 JUL 1969,ESP,2,Nice (FRA),09 JUL 2001,1192,2001,men_1500m
32,1532,3:33.76,Mohamed MOUSTAOUI,02 APR 1985,MAR,4,"Gottlieb-Daimler Stadion, Stuttgart (GER)",10 SEP 2006,1192,2006,men_1500m
33,1532,3:33.76,Nicholas Kiptanui KEMBOI,18 DEC 1989,KEN,9,"Stade Louis II, Monaco (MON)",22 JUL 2010,1192,2010,men_1500m
34,1532,3:33.76,Benson SEUREI,27 MAR 1984,KEN,8,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1192,2012,men_1500m
35,1536,3:33.77,Marcus O'SULLIVAN,22 DEC 1961,IRL,5,Bruxelles (BEL),23 AUG 1996,1192,1996,men_1500m
36,1536,3:33.77,Lamecha GIRMA,26 NOV 2000,ETH,4f1,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020,1192,2020,men_1500m
37,1538,3:33.78,Steve OVETT,09 OCT 1955,GBR,1,Koblenz (GER),06 AUG 1986,1192,1986,men_1500m
38,1538,3:33.78,Peter ELLIOTT,09 OCT 1962,GBR,1,Vigo (ESP),23 JUL 1991,1192,1991,men_1500m
39,1538,3:33.78,Jens-Peter HEROLD,02 JUN 1965,GER,5,Zürich (SUI),19 AUG 1992,1192,1992,men_1500m
40,1538,3:33.78,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Duisburg (GER),18 JUN 1995,1192,1995,men_1500m
41,1538,3:33.78,Noureddine BÉHAR,08 APR 1966,MAR,6,Lausanne (SUI),03 JUL 1996,1192,1996,men_1500m
42,1538,3:33.78,Abdelkader HACHLAF,03 JUL 1979,MAR,8,Zürich (SUI),16 AUG 2002,1192,2002,men_1500m
43,1538,3:33.78,Robert RONO,16 AUG 1978,KEN,3,Heusden-Zolder (BEL),02 AUG 2003,1192,2003,men_1500m
44,1538,3:33.78,Asbel KIPROP,30 JUN 1989,KEN,6,"Letzigrund, Zürich (SUI)",29 AUG 2013,1192,2013,men_1500m
45,1538,3:33.78,Abdelaati IGUIDER,25 MAR 1987,MAR,10,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1192,2014,men_1500m
46,1538,3:33.78,Samuel TEFERA,23 OCT 1999,ETH,1,"FBK Stadium, Hengelo (NED)",10 JUN 2017,1192,2017,men_1500m
47,1548,3:33.79,David MOORCROFT,10 APR 1953,GBR,1,Hengelo (NED),27 JUL 1982,1191,1982,men_1500m
48,1548,3:33.79,Andrés Manuel DÍAZ,12 JUL 1969,ESP,2,Rieti (ITA),02 SEP 2001,1191,2001,men_1500m
49,1548,3:33.79,Elijah Motonei MANANGOI,05 JAN 1993,KEN,2,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1191,2018,men_1500m
50,1548,3:33.79,Vincent KIBET,06 MAY 1991,KEN,7,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1191,2019,men_1500m
51,1548,3:33.79,Oliver HOARE,29 JAN 1997,AUS,2,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021,1191,2021,men_1500m
52,1553,3:33.80,Pierre DÉLÈZE,25 AUG 1958,SUI,4f3,Zürich (SUI),13 AUG 1980,1191,1980,men_1500m
53,1553,3:33.8h,Jens-Peter HEROLD,02 JUN 1965,GDR,1,Potsdam (GDR),14 JUN 1987,1191,1987,men_1500m
54,1553,3:33.80,Gennaro DI NAPOLI,05 MAR 1968,ITA,1f1,"Stadio Olimpico, Roma (ITA)",09 JUN 1992,1191,1992,men_1500m
55,1553,3:33.80,William KEMEI,22 FEB 1969,KEN,4,Oslo (NOR),21 JUL 1995,1191,1995,men_1500m
56,1553,3:33.80,Bernard LAGAT,12 DEC 1974,KEN,1,Sevilla (ESP),08 JUN 2001,1191,2001,men_1500m
57,1553,3:33.80,Timothy KIPTANUI,05 JAN 1980,KEN,5,"FBK Stadium, Hengelo (NED)",31 MAY 2004,1191,2004,men_1500m
58,1553,3:33.80,Eliud KIPCHOGE,05 NOV 1984,KEN,4,"Crystal Palace, London (GBR)",22 JUL 2005,1191,2005,men_1500m
59,1553,3:33.8h,Asbel KIPROP,30 JUN 1989,KEN,2,Nairobi (KEN),13 JUL 2013,1191,2013,men_1500m
60,1553,3:33.80,Jakub HOLUŠA,20 FEB 1988,CZE,4,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1191,2018,men_1500m
61,1553,3:33.80,Elliot GILES,26 MAY 1994,GBR,2f1,"Stade Delort, Marseille (FRA)",09 JUN 2021,1191,2021,men_1500m
62,1563,3:33.81,Steve OVETT,09 OCT 1955,GBR,1,Oslo (NOR),28 JUN 1983,1191,1983,men_1500m
63,1563,3:33.81,Jim SPIVEY,07 MAR 1960,USA,4,Stockholm (SWE),03 JUL 1991,1191,1991,men_1500m
64,1563,3:33.81,Rüdiger STENZEL,16 APR 1968,GER,4,"FBK Stadium, Hengelo (NED)",31 MAY 1997,1191,1997,men_1500m
65,1563,3:33.81,Laban ROTICH,20 JAN 1969,KEN,3,"Olympiastadion, Berlin (GER)",01 SEP 1998,1191,1998,men_1500m
66,1563,3:33.81,Noah NGENY,02 NOV 1978,KEN,5,Moskva (RUS),05 SEP 1998,1191,1998,men_1500m
67,1563,3:33.81,Laban ROTICH,20 JAN 1969,KEN,3,"Olympiastadion, Berlin (GER)",06 SEP 2002,1191,2002,men_1500m
68,1563,3:33.81,Elijah Kipchirchir KIPTOO,09 JUN 1986,KEN,10,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,1191,2012,men_1500m
69,1563,3:33.81,Charlie DA'VALL GRICE,07 NOV 1993,GBR,2f1,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1191,2021,men_1500m
70,1563,3:33.81,Sadik MIKHOU,25 JUL 1990,BRN,1,"Stadion Radés, Radés (TUN)",17 JUN 2021,1191,2021,men_1500m
71,1563,3:33.81,Jonathan DAVIS,10 OCT 1997,USA,1f1,"Jack Kemp Stadium, Los Angeles, CA (USA)",15 JUL 2022,1191,2022,men_1500m
72,1573,3:33.82,Rachid EL BASIR,04 OCT 1968,MAR,3,"Crystal Palace, London (GBR)",07 JUL 1995,1191,1995,men_1500m
73,1573,3:33.82,John MAYOCK,26 OCT 1970,GBR,7,Nice (FRA),16 JUL 1997,1191,1997,men_1500m
74,1573,3:33.82,Reyes ESTÉVEZ,02 AUG 1976,ESP,8,"Stadio Olimpico, Roma (ITA)",14 JUL 1998,1191,1998,men_1500m
75,1573,3:33.82,David LELEI,10 MAY 1971,KEN,7,"La Cartuja, Sevilla (ESP)",24 AUG 1999,1191,1999,men_1500m
76,1573,3:33.82,Collins CHEBOI,25 SEP 1987,KEN,1f1,Rabat (MAR),05 JUN 2011,1191,2011,men_1500m
77,1573,3:33.82,Dawit WOLDE,19 MAY 1991,ETH,5,"FBK Stadium, Hengelo (NED)",27 MAY 2012,1191,2012,men_1500m
78,1573,3:33.82,Aman WOTE,18 APR 1984,ETH,f1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1191,2014,men_1500m
79,1573,3:33.82,Brahim KAAZOUZI,15 JUN 1990,MAR,5,"Letzigrund, Zürich (SUI)",30 AUG 2018,1191,2018,men_1500m
80,1581,3:33.83,John ROBSON,31 JAN 1957,GBR,2,Bruxelles (BEL),04 SEP 1979,1191,1979,men_1500m
81,1581,3:33.83,David LELEI,10 MAY 1971,KEN,2,Stuttgart (GER),13 JUL 1997,1191,1997,men_1500m
82,1581,3:33.83,Reyes ESTÉVEZ,02 AUG 1976,ESP,7,Stockholm (SWE),17 JUL 2001,1191,2001,men_1500m
83,1581,3:33.83,Alex KIPCHIRCHIR,26 NOV 1984,KEN,1,Rieti (ITA),05 SEP 2004,1191,2004,men_1500m
84,1581,3:33.83,Markos GENETI,07 JUN 1984,ETH,4f1,Stockholm (SWE),26 JUL 2005,1191,2005,men_1500m
85,1581,3:33.83,Laban ROTICH,20 JAN 1969,KEN,7,"Olympiastadion, Berlin (GER)",04 SEP 2005,1191,2005,men_1500m
86,1581,3:33.83,Gideon GATHIMBA,09 MAR 1980,KEN,9,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1191,2012,men_1500m
87,1588,3:33.84,John WALKER,12 JAN 1952,NZL,2,Koblenz (GER),31 AUG 1983,1191,1983,men_1500m
88,1588,3:33.84,Reyes ESTÉVEZ,02 AUG 1976,ESP,6,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1191,2003,men_1500m
89,1588,3:33.84,Abdelaati IGUIDER,25 MAR 1987,MAR,1,Cottbus (GER),25 JUN 2011,1191,2011,men_1500m
90,1588,3:33.84,Deresse MEKONNEN,20 OCT 1987,ETH,8,Paris (FRA),08 JUL 2011,1191,2011,men_1500m
91,1588,3:33.84,Ignacio FONTES,22 JUN 1998,ESP,3f1,"Stade Delort, Marseille (FRA)",09 JUN 2021,1191,2021,men_1500m
92,1588,3:33.84,Brian KOMEN,10 AUG 1998,KEN,1,"Golęcin Stadion, Poznan (POL)",18 JUN 2023,1191,2023,men_1500m
93,1594,3:33.85,Wilfred Oanda KIROCHI,12 DEC 1969,KEN,1f1,"Letzigrund, Zürich (SUI)",16 AUG 1989,1191,1989,men_1500m
94,1594,3:33.85,Alex KIPCHIRCHIR,26 NOV 1984,KEN,2,Zürich (SUI),18 AUG 2006,1191,2006,men_1500m
95,1594,3:33.85,Bernard LAGAT,12 DEC 1974,USA,,"Eugene, OR (USA)",10 JUN 2007,1191,2007,men_1500m
96,1594,3:33.85,Youssef BABA,07 AUG 1979,MAR,7,"Olympiastadion, Berlin (GER)",01 JUN 2008,1191,2008,men_1500m
97,1594,3:33.85,Deresse MEKONNEN,20 OCT 1987,ETH,2,"Icahn Stadium, New York, NY (USA)",12 JUN 2010,1191,2010,men_1500m
98,1594,3:33.85,Caleb Mwangangi NDIKU,09 OCT 1992,KEN,1,Nairobi (KEN),15 JUN 2012,1191,2012,men_1500m
99,1594,3:33.85,Silas KIPLAGAT,20 AUG 1989,KEN,6,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2013,1191,2013,men_1500m
0,1594,3:33.85,Charles Cheboi SIMOTWO,05 JUN 1995,KEN,,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1191,2021,men_1500m
1,1594,3:33.85,George MILLS,12 MAY 1999,GBR,3,"Mestský Stadion, Ostrava (CZE)",27 JUN 2023,1191,2023,men_1500m
2,1603,3:33.86,Jonah BIRIR,12 DEC 1971,KEN,7f1,Zürich (SUI),04 AUG 1993,1190,1993,men_1500m
3,1603,3:33.86,Andrés Manuel DÍAZ,12 JUL 1969,ESP,4,"Olympiastadion, Berlin (GER)",01 SEP 1998,1190,1998,men_1500m
4,1603,3:33.86,Daniel KOMEN,17 MAY 1976,KEN,6,Moskva (RUS),05 SEP 1998,1190,1998,men_1500m
5,1603,3:33.86,Belal Mansoor ALI,17 OCT 1988,BRN,1,"AC Gianni Brera, Milano (ITA)",01 JUN 2005,1190,2005,men_1500m
6,1603,3:33.86,Augustine Kiprono CHOGE,21 JAN 1987,KEN,3,Nairobi (KEN),25 JUL 2009,1190,2009,men_1500m
7,1603,3:33.86,Mahiedine MEKHISSI,15 MAR 1985,FRA,2f1,Rabat (MAR),05 JUN 2011,1190,2011,men_1500m
8,1603,3:33.86,Silas KIPLAGAT,20 AUG 1989,KEN,3,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2016,1190,2016,men_1500m
9,1603,3:33.86,Ronald MUSAGALA,16 DEC 1992,UGA,1,"Stade Raymond Petit, Tomblaine (FRA)",22 JUN 2019,1190,2019,men_1500m
10,1611,3:33.87,Johan FOURIE,02 DEC 1959,RSA,1,Stellenbosch (RSA),10 APR 1987,1190,1987,men_1500m
11,1611,3:33.87,José Luis GONZÁLEZ,08 DEC 1957,ESP,4,Rieti (ITA),09 SEP 1990,1190,1990,men_1500m
12,1611,3:33.87,Ali HAKIMI,24 APR 1976,TUN,12f1,Zürich (SUI),13 AUG 1997,1190,1997,men_1500m
13,1611,3:33.87,Mohamed SULEIMAN,23 NOV 1969,QAT,6,Köln (GER),24 AUG 1997,1190,1997,men_1500m
14,1611,3:33.87,Gert-Jan LIEFERS,26 SEP 1978,NED,11,"Stadio Olimpico, Roma (ITA)",02 JUL 2004,1190,2004,men_1500m
15,1611,3:33.87,Rui SILVA,03 AUG 1977,POR,3,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1190,2005,men_1500m
16,1611,3:33.87,Tarek BOUKENSA,19 NOV 1981,ALG,5,"Gottlieb-Daimler Stadion, Stuttgart (GER)",10 SEP 2006,1190,2006,men_1500m
17,1611,3:33.87,Cole HOCKER,06 JUN 2001,USA,2sf1,"National Stadium, Tokyo (JPN)",05 AUG 2021,1190,2021,men_1500m
18,1611,3:33.87,Andrew COSCORAN,18 JUN 1996,IRL,2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023,1190,2023,men_1500m
19,1620,3:33.88,David KIBET,24 NOV 1963,KEN,8f1,Zürich (SUI),04 AUG 1993,1190,1993,men_1500m
20,1620,3:33.88,Hicham EL GUERROUJ,14 SEP 1974,MAR,3f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 1995,1190,1995,men_1500m
21,1620,3:33.88,Hudson SANTOS DE SOUZA,25 FEB 1977,BRA,6,"Stade Louis II, Monaco (MON)",20 AUG 2006,1190,2006,men_1500m
22,1620,3:33.88,Aman WOTE,18 APR 1984,ETH,2,"FBK Stadium, Hengelo (NED)",10 JUN 2017,1190,2017,men_1500m
23,1624,3:33.89,Rod DIXON,13 JUL 1950,NZL,4,Christchurch (NZL),02 FEB 1974,1190,1974,men_1500m
24,1624,3:33.89,John WALKER,12 JAN 1952,NZL,1,Helsinki (FIN),27 JUN 1974,1190,1974,men_1500m
25,1624,3:33.89,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Duisburg (GER),12 JUN 1996,1190,1996,men_1500m
26,1624,3:33.89,Salah EL GHAZI,02 NOV 1975,MAR,7,St-Denis (FRA),03 JUL 1999,1190,1999,men_1500m
27,1624,3:33.89,Nadir BOSCH,16 MAY 1973,FRA,6,"Stade Louis II, Monaco (MON)",18 AUG 2000,1190,2000,men_1500m
28,1624,3:33.89,Paul MCMULLEN,19 FEB 1972,USA,8,"Stade Louis II, Monaco (MON)",20 JUL 2001,1190,2001,men_1500m
29,1624,3:33.89,Fouad CHOUKI,01 OCT 1978,FRA,9,"Stade Louis II, Monaco (MON)",20 JUL 2001,1190,2001,men_1500m
30,1624,3:33.89,Ali SAIDI-SIEF,15 MAR 1978,ALG,5,Ostrava (CZE),08 JUN 2004,1190,2004,men_1500m
31,1624,3:33.89,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,3,Zürich (SUI),18 AUG 2006,1190,2006,men_1500m
32,1624,3:33.89,Geoffrey Kipkoech RONO,21 APR 1987,KEN,3,"Stadio Olimpico, Roma (ITA)",10 JUN 2010,1190,2010,men_1500m
33,1624,3:33.89,Bouabdellah TAHRI,20 DEC 1978,FRA,8,Paris (FRA),06 JUL 2013,1190,2013,men_1500m
34,1635,3:33.90,William KEMEI,22 FEB 1969,KEN,4,Nice (FRA),15 JUL 1992,1190,1992,men_1500m
35,1635,3:33.90,John MAYOCK,26 OCT 1970,GBR,6,Bruxelles (BEL),28 AUG 1998,1190,1998,men_1500m
36,1635,3:33.90,David LELEI,10 MAY 1971,KEN,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1190,1999,men_1500m
37,1635,3:33.90,Michael EAST,20 JAN 1978,GBR,9,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1190,2005,men_1500m
38,1635,3:33.90,Mohammed SHAWEEN,15 FEB 1986,KSA,5,Doha (QAT),09 MAY 2008,1190,2008,men_1500m
39,1635,3:33.9h,Nixon Kiplimo CHEPSEBA,12 DEC 1990,KEN,3,Nairobi (KEN),13 JUL 2013,1190,2013,men_1500m
40,1635,3:33.90,Ronald MUSAGALA,16 DEC 1992,UGA,4,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,1190,2019,men_1500m
41,1635,3:33.90,Azeddine HABZ,19 JUL 1993,FRA,4,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1190,2023,men_1500m
42,1635,3:33.90,Jimmy GRESSIER,04 MAY 1997,FRA,3f1,Montesson (FRA),10 JUN 2023,1190,2023,men_1500m
43,1635,3:33.90,Julian RANC,14 SEP 1996,FRA,8,"Stade Raymond Petit, Tomblaine (FRA)",18 JUN 2023,1190,2023,men_1500m
44,1645,3:33.91,Mike BOIT,06 JAN 1949,KEN,4,"Letzigrund, Zürich (SUI)",21 AUG 1985,1190,1985,men_1500m
45,1645,3:33.91,Dieter BAUMANN,09 FEB 1965,GER,1,Koblenz (GER),26 AUG 1992,1190,1992,men_1500m
46,1645,3:33.91,Vyacheslav SHABUNIN,27 SEP 1969,RUS,4,Athina (GRE),11 JUN 2001,1190,2001,men_1500m
47,1645,3:33.91,Kevin SULLIVAN,20 MAR 1974,CAN,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1190,2001,men_1500m
48,1645,3:33.91,Ivan HESHKO,19 AUG 1979,UKR,1,Sevilla (ESP),07 JUN 2003,1190,2003,men_1500m
49,1645,3:33.91,Laban ROTICH,20 JAN 1969,KEN,6,Paris (FRA),04 JUL 2003,1190,2003,men_1500m
50,1645,3:33.91,Shadrack KORIR,14 DEC 1978,KEN,1,Madrid (ESP),17 JUL 2006,1190,2006,men_1500m
51,1645,3:33.91,Adel MECHAAL,05 DEC 1990,ESP,8,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1190,2019,men_1500m
52,1653,3:33.92,Mike BOIT,06 JAN 1949,KEN,3,Koblenz (GER),26 AUG 1981,1190,1981,men_1500m
53,1653,3:33.92,David KIBET,24 NOV 1963,KEN,3,"Stade Louis II, Monaco (MON)",03 AUG 1991,1190,1991,men_1500m
54,1653,3:33.92,Youssef BABA,07 AUG 1979,MAR,8,"Stadio Olimpico, Roma (ITA)",30 JUN 2000,1190,2000,men_1500m
55,1653,3:33.92,Stefan EBERHARDT,12 JAN 1985,GER,5,"Olympiastadion, Berlin (GER)",14 JUN 2009,1190,2009,men_1500m
56,1653,3:33.92,Geoffrey Kipkoech RONO,21 APR 1987,KEN,5,"Shanghai Stadium, Shanghai (CHN)",23 MAY 2010,1190,2010,men_1500m
57,1653,3:33.92,Leonel MANZANO,12 SEP 1984,USA,3,"Icahn Stadium, New York, NY (USA)",12 JUN 2010,1190,2010,men_1500m
58,1653,3:33.92,Ryan GREGSON,26 APR 1990,AUS,11,"Suhaim bin Hamad Stadium, Doha (QAT)",11 MAY 2012,1190,2012,men_1500m
59,1653,3:33.92,Silas KIPLAGAT,20 AUG 1989,KEN,2f1,"Olympiastadion, Stockholm (SWE)",22 AUG 2013,1190,2013,men_1500m
60,1653,3:33.92,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Mestský Stadion, Ostrava (CZE)",08 SEP 2020,1190,2020,men_1500m
61,1662,3:33.93,José Luis GONZÁLEZ,08 DEC 1957,ESP,2,Oslo (NOR),28 JUN 1983,1189,1983,men_1500m
62,1662,3:33.93,Daniel KOMEN,17 MAY 1976,KEN,3,"Bislett Stadion, Oslo (NOR)",09 JUL 1998,1189,1998,men_1500m
63,1662,3:33.93,William TANUI,22 FEB 1964,KEN,4,"Olympiastadion, München (GER)",11 SEP 1999,1189,1999,men_1500m
64,1662,3:33.93,Kevin SULLIVAN,20 MAR 1974,CAN,1f2,"Letzigrund, Zürich (SUI)",17 AUG 2001,1189,2001,men_1500m
65,1662,3:33.93,Fouad CHOUKI,01 OCT 1978,FRA,11,Bruxelles (BEL),30 AUG 2002,1189,2002,men_1500m
66,1662,3:33.93,Shadrack KORIR,14 DEC 1978,KEN,5,Paris (FRA),18 JUL 2008,1189,2008,men_1500m
67,1662,3:33.93,Timothy CHERUIYOT,20 NOV 1995,KEN,1,"Letzigrund, Zürich (SUI)",24 AUG 2017,1189,2017,men_1500m
68,1662,3:33.93,Ayanleh SOULEIMAN,03 DEC 1992,DJI,3,"Sports Park Mladost, Zagreb (CRO)",04 SEP 2018,1189,2018,men_1500m
69,1662,3:33.93,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Fana Stadion, Bergen (NOR)",19 SEP 2020,1189,2020,men_1500m
70,1662,3:33.93,Abdellatif SADIKI,15 JAN 1999,MAR,3,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",05 JUN 2022,1189,2022,men_1500m
