Unnamed: 0,Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,year,discipline
62,4552,22.83,0.1,Grace JACKSON,14 JUN 1961,JAM,2h2,San José (USA),25 JUN 1987,1152,1987,women_200m
63,4552,22.83,-0.7,Alice BROWN,20 SEP 1960,USA,1h4,"Indianapolis, IN (USA)",22 JUL 1988,1156,1988,women_200m
64,4552,22.83,1.7,Maree HOLLAND,25 JUL 1963,AUS,2,Chiba (JPN),15 SEP 1988,1152,1988,women_200m
65,4552,22.83,,Myrtle BOTHMA,18 FEB 1964,RSA,1,Sasolburg (RSA),16 NOV 1988,1152,1988,women_200m
66,4552,22.83,1.3,Esther JONES,07 APR 1969,USA,2,Sevilla (ESP),20 JUN 1989,1152,1989,women_200m
67,4552,22.83,-1.0,Sabine RIEGER-GÜNTHER,06 NOV 1963,GDR,3,Neubrandenburg (GDR),23 JUL 1989,1158,1989,women_200m
68,4552,22.83,0.8,Celena MONDIE-MILNER,06 AUG 1968,USA,1sf2,"Durham, NC (USA)",01 JUN 1990,1152,1990,women_200m
69,4552,22.83,0.4,Grace JACKSON,14 JUN 1961,JAM,6,Köln (GER),19 AUG 1990,1152,1990,women_200m
70,4552,22.83,-3.4,Yelena VINOGRADOVA-PETUSHINSKAYA,28 MAR 1964,URS,4sf1,"National Stadium, Tokyo (JPN)",30 AUG 1991,1172,1991,women_200m
71,4552,22.83,,Silke-Beate KNOLL,21 FEB 1967,GER,1h4,"Estadio Olímpico, Barcelona (ESP)",03 AUG 1992,1152,1992,women_200m
72,4552,22.83,1.1,Natalya VORONOVA,09 JUL 1965,RUS,3,Villeneuve d'Ascq (FRA),02 JUL 1993,1152,1993,women_200m
73,4552,22.83,-0.5,Elinda VORSTER,08 SEP 1965,RSA,6sf1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",19 AUG 1993,1155,1993,women_200m
74,4552,22.83,0.4,Zhanna TARNOPOLSKAYA,06 JUL 1972,UKR,5f1,"Olympiastadion, Berlin (GER)",30 AUG 1994,1152,1994,women_200m
75,4552,22.83,0.0,Mary ONYALI-OMAGBEMI,03 FEB 1968,NGR,7,"Stade Louis II, Monaco (MON)",25 JUL 1995,1152,1995,women_200m
76,4552,22.83,0.1,Melinda GAINSFORD,01 OCT 1971,AUS,5,"Stade Louis II, Monaco (MON)",09 SEP 1995,1152,1995,women_200m
77,4552,22.83,-0.3,Savatheda FYNES,17 OCT 1974,BAH,5f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1997,1153,1997,women_200m
78,4552,22.83,-0.3,Juliet CAMPBELL,17 MAR 1970,JAM,6f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1997,1153,1997,women_200m
79,4552,22.83,0.3,Juliet CUTHBERT,09 APR 1964,JAM,3qf2,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1152,1997,women_200m
80,4552,22.83,0.0,Yuxiang CHEN,28 FEB 1978,CHN,h,Shanghai (CHN),21 OCT 1997,1152,1997,women_200m
81,4552,22.83,-0.6,Marina TRANDENKOVA,07 JAN 1967,RUS,2,Athina (GRE),17 JUN 1998,1155,1998,women_200m
82,4552,22.83,-0.9,Rose ABOAJA,1977,NGR,2,Dakar (SEN),22 AUG 1998,1157,1998,women_200m
83,4552,22.83,0.1,Lauren HEWITT,25 NOV 1978,AUS,3,Kuala Lumpur (MAS),19 SEP 1998,1152,1998,women_200m
84,4552,22.83,-2.9,Chandra STURRUP,12 SEP 1971,BAH,1,"Chapel Hill, NC (USA)",09 MAY 1999,1169,1999,women_200m
85,4552,22.83,0.0,Merlene FRAZER,27 DEC 1973,JAM,2,"Edwardsville, IL (USA)",22 MAY 1999,1152,1999,women_200m
86,4552,22.83,0.7,Muriel HURTIS,25 MAR 1979,FRA,3,"Stade Charléty, Paris (FRA)",19 JUN 1999,1152,1999,women_200m
87,4552,22.83,0.4,Joice MADUAKA,30 SEP 1973,GBR,1,Birmingham (GBR),25 JUL 1999,1152,1999,women_200m
88,4552,22.83,-1.3,Debbie FERGUSON,16 JAN 1976,BAH,1,Winnipeg (CAN),28 JUL 1999,1159,1999,women_200m
89,4552,22.83,0.6,Juliet CAMPBELL,17 MAR 1970,JAM,4,Stockholm (SWE),30 JUL 1999,1152,1999,women_200m
90,4552,22.83,0.6,Mercy NKU,17 JUL 1976,NGR,6qf4,"La Cartuja, Sevilla (ESP)",24 AUG 1999,1152,1999,women_200m
91,4552,22.83,0.8,Astia WALKER,04 APR 1975,JAM,1,"Baton Rouge, LA (USA)",19 MAY 2000,1152,2000,women_200m
92,4552,22.83,0.7,LaTasha COLANDER,23 AUG 1976,USA,1,"Raleigh, NC (USA)",31 MAR 2001,1152,2001,women_200m
93,4552,22.83,-1.4,Irina KHABAROVA,18 MAR 1966,RUS,2,Tula (RUS),14 JUL 2001,1160,2001,women_200m
94,4552,22.83,0.5,LaTasha JENKINS,19 DEC 1977,USA,4,Bruxelles (BEL),24 AUG 2001,1152,2001,women_200m
95,4552,22.83,-1.3,Allyson FELIX,18 NOV 1985,USA,1,"Cerritos, CA (USA)",31 MAY 2002,1159,2002,women_200m
96,4552,22.83,0.5,Yuliya TABAKOVA,01 MAY 1980,RUS,1,Tula (RUS),02 JUN 2002,1152,2002,women_200m
97,4552,22.83,0.3,Saraswati DEY-SAHA,23 NOV 1979,IND,1,New Delhi (IND),08 SEP 2002,1152,2002,women_200m
98,4552,22.83,0.5,Anastasiya KAPACHINSKAYA,21 NOV 1979,RUS,3,"Stadio Olimpico, Roma (ITA)",11 JUL 2003,1152,2003,women_200m
99,4552,22.83,1.4,Mercy NKU,17 JUL 1976,NGR,1,Thessaloniki (GRE),03 AUG 2003,1152,2003,women_200m
0,4552,22.83,-0.7,Torri EDWARDS,31 JAN 1977,USA,2h4,"Stade de France, Paris-St-Denis (FRA)",26 AUG 2003,1156,2003,women_200m
1,4552,22.83,2.0,Muriel HURTIS,25 MAR 1979,FRA,1,Montgeron (FRA),16 MAY 2004,1152,2004,women_200m
2,4552,22.83,0.6,Natalya ANTYUKH,26 JUN 1981,RUS,2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2004,1152,2004,women_200m
3,4552,22.83,-0.6,Rachelle BOONE-SMITH,30 JUN 1981,USA,2h4,"Sacramento, CA (USA)",16 JUL 2004,1155,2004,women_200m
4,4552,22.83,-0.6,LaShauntea MOORE,31 JUL 1983,USA,3h4,"Sacramento, CA (USA)",16 JUL 2004,1155,2004,women_200m
5,4552,22.83,-0.4,Muriel HURTIS,25 MAR 1979,FRA,2,Heusden-Zolder (BEL),31 JUL 2004,1154,2004,women_200m
6,4552,22.83,1.7,Beverly MCDONALD,15 FEB 1970,JAM,1,Naimette-Xhovémont (BEL),03 AUG 2004,1152,2004,women_200m
7,4552,22.83,0.5,Shalonda SOLOMON,19 DEC 1985,USA,4sf1,"Carson, CA (USA)",26 JUN 2005,1152,2005,women_200m
8,4552,22.83,0.5,Marshevet HOOKER,25 SEP 1984,USA,1h,"Waco, TX (USA)",13 MAY 2006,1152,2006,women_200m
9,4552,22.83,1.0,Kim GEVAERT,05 AUG 1978,BEL,2h4,"Ullevi Stadium, Göteborg (SWE)",10 AUG 2006,1152,2006,women_200m
10,4552,22.83,1.0,Simone FACEY,07 MAY 1985,JAM,1h,"Lincoln, NE (USA)",12 MAY 2007,1152,2007,women_200m
11,4552,22.83,1.0,Simone FACEY,07 MAY 1985,JAM,1h3,"Sacramento, CA (USA)",07 JUN 2007,1152,2007,women_200m
12,4552,22.83,-2.0,Muriel HURTIS,25 MAR 1979,FRA,1,"Olympiastadion, München (GER)",24 JUN 2007,1164,2007,women_200m
13,4552,22.83,0.8,Muriel HURTIS,25 MAR 1979,FRA,1h5,"Yanmar Stadium Nagai, Osaka (JPN)",29 AUG 2007,1152,2007,women_200m
14,4552,22.83,1.5,Oludamola OSAYOMI,26 JUN 1986,NGR,3,Addis Abeba (ETH),04 MAY 2008,1152,2008,women_200m
15,4552,22.83,-0.3,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,São Paulo (BRA),22 MAY 2008,1153,2008,women_200m
16,4552,22.83,0.5,Carmelita JETER,24 NOV 1979,USA,5,"Stadio Olimpico, Roma (ITA)",11 JUL 2008,1152,2008,women_200m
17,4552,22.83,0.0,Cydonie MOTHERSILL,19 MAR 1978,CAY,4qf1,"National Stadium, Beijing (CHN)",19 AUG 2008,1152,2008,women_200m
18,4552,22.83,0.0,Muna LEE,30 OCT 1981,USA,2qf4,"National Stadium, Beijing (CHN)",19 AUG 2008,1152,2008,women_200m
19,4552,22.83,-0.2,Emily FREEMAN,24 NOV 1980,GBR,7sf2,"National Stadium, Beijing (CHN)",20 AUG 2008,1153,2008,women_200m
20,4552,22.83,-0.2,Aleen BAILEY,25 NOV 1980,JAM,2f2,"Orlando, FL (USA)",13 JUN 2009,1153,2009,women_200m
21,4552,22.83,-1.7,Debbie FERGUSON-MCKENZIE,16 JAN 1976,BAH,1,Nassau (BAH),27 JUN 2009,1162,2009,women_200m
22,4552,22.83,0.3,Simone FACEY,07 MAY 1985,JAM,1h1,"Olympiastadion, Berlin (GER)",19 AUG 2009,1152,2009,women_200m
23,4552,22.83,0.3,Eleni ARTYMATA,16 MAY 1986,CYP,3h4,"Olympiastadion, Berlin (GER)",19 AUG 2009,1152,2009,women_200m
24,4552,22.83,0.1,Cydonie MOTHERSILL,19 MAR 1978,CAY,6,Thessaloniki (GRE),12 SEP 2009,1152,2009,women_200m
25,4552,22.83,-1.0,Sheri-Ann BROOKS,11 FEB 1983,JAM,1f1,St-Martin (FRA),08 MAY 2010,1158,2010,women_200m
26,4552,22.83,1.2,Porscha LUCAS,18 JUN 1988,USA,1,"Eugene, OR (USA)",12 JUN 2010,1152,2010,women_200m
27,4552,22.83,0.6,Alexandria ANDERSON,28 JAN 1987,USA,5,"Drake Stadium, Des Moines, IA (USA)",27 JUN 2010,1152,2010,women_200m
28,4552,22.83,0.0,Bianca KNIGHT,02 JAN 1989,USA,6,"Stade de France, Paris-St-Denis (FRA)",16 JUL 2010,1152,2010,women_200m
29,4552,22.83,1.3,Aareon PAYNE,03 SEP 1990,USA,1,"Walnut, CA (USA)",16 APR 2011,1152,2011,women_200m
30,4552,22.83,0.3,LaShauntea MOORE,31 JUL 1983,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1152,2011,women_200m
31,4552,22.83,1.5,Candyce MCGRONE,24 MAR 1989,USA,4,"Des Moines, IA (USA)",11 JUN 2011,1152,2011,women_200m
32,4552,22.83,1.5,Aareon PAYNE,03 SEP 1990,USA,5,"Des Moines, IA (USA)",11 JUN 2011,1152,2011,women_200m
33,4552,22.83,0.9,Aurieyall SCOTT,18 MAY 1992,USA,1,"Eugene, OR (USA)",25 JUN 2011,1152,2011,women_200m
34,4552,22.83,-0.1,Kerron STEWART,16 APR 1984,JAM,2h1,"DS, Daegu (KOR)",01 SEP 2011,1152,2011,women_200m
35,4552,22.83,1.4,Viktoriya KASHEYEVA,07 MAY 1989,UKR,2f3,Yalta (UKR),28 MAY 2012,1152,2012,women_200m
36,4552,22.83,1.6,Samantha HENRY-ROBINSON,25 SEP 1988,JAM,2h1,Kingston (JAM),30 JUN 2012,1152,2012,women_200m
37,4552,22.83,1.8,Anneisha MCLAUGHLIN-WHILBY,06 JAN 1986,JAM,1h3,Kingston (JAM),30 JUN 2012,1152,2012,women_200m
38,4552,22.83,-0.3,Dafne SCHIPPERS,15 JUN 1992,NED,1ce5,"Olympic Stadium, London (GBR)",03 AUG 2012,1153,2012,women_200m
39,4552,22.83,-0.3,Jessica ENNIS-HILL,28 JAN 1986,GBR,2ce5,"Olympic Stadium, London (GBR)",03 AUG 2012,1153,2012,women_200m
40,4552,22.83,-0.7,Jeneba TARMOH,27 SEP 1989,USA,2,Padova (ITA),02 SEP 2012,1156,2012,women_200m
41,4552,22.83,0.5,Sherone SIMPSON,12 AUG 1984,JAM,3,"National Stadium, Kingston (JAM)",04 MAY 2013,1152,2013,women_200m
42,4552,22.83,0.5,Samantha HENRY-ROBINSON,25 SEP 1988,JAM,4,"National Stadium, Kingston (JAM)",04 MAY 2013,1152,2013,women_200m
43,4552,22.83,0.1,Charonda WILLIAMS,27 MAR 1987,USA,2h2,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1152,2013,women_200m
44,4552,22.83,0.3,Myriam SOUMARÉ,29 OCT 1986,FRA,3h6,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1152,2013,women_200m
45,4552,22.83,0.1,Shalonda SOLOMON,19 DEC 1985,USA,3f1,"Clermont, FL (USA)",26 APR 2014,1152,2014,women_200m
46,4552,22.83,-0.5,Mujinga KAMBUNDJI,17 JUN 1992,SUI,5,"Letzigrund, Zürich (SUI)",15 AUG 2014,1155,2014,women_200m
47,4552,22.83,0.1,Kimberlyn DUNCAN,02 AUG 1991,USA,4f1,"Walnut, CA (USA)",18 APR 2015,1152,2015,women_200m
48,4552,22.83,0.9,Muna LEE,30 OCT 1981,USA,2h2,"Hayward Field, Eugene, OR (USA)",27 JUN 2015,1152,2015,women_200m
49,4552,22.83,-0.1,Kimberlyn DUNCAN,02 AUG 1991,USA,5sf1,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,1152,2015,women_200m
50,4552,22.83,0.8,Kamaria DURANT,24 FEB 1991,TTO,2,Port-of-Spain (TTO),11 JUL 2015,1152,2015,women_200m
51,4552,22.83,-0.3,Tiffany TOWNSEND,14 JUN 1989,USA,4,"Olympic Stadium, London (GBR)",25 JUL 2015,1153,2015,women_200m
52,4552,22.83,0.1,Morolake AKINOSUN,17 MAY 1994,USA,2f1,"Los Angeles, CA (USA)",26 MAR 2016,1152,2016,women_200m
53,4552,22.83,-0.1,Gabrielle THOMAS,07 DEC 1996,USA,1sf3,"Eugene, OR (USA)",09 JUN 2016,1152,2016,women_200m
54,4552,22.83,-0.4,Jamile SAMUEL,24 APR 1992,NED,4,"Olympisch Stadion, Amsterdam (NED)",07 JUL 2016,1154,2016,women_200m
55,4552,22.83,0.1,Mujinga KAMBUNDJI,17 JUN 1992,SUI,6sf1,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1152,2016,women_200m
56,4552,22.83,-0.3,Bianca WILLIAMS,18 DEC 1993,GBR,5f1,"Gainesville, FL (USA)",28 APR 2017,1153,2017,women_200m
57,4552,22.83,0.4,Deanna HILL,13 APR 1996,USA,2sf1,"Eugene, OR (USA)",08 JUN 2017,1152,2017,women_200m
58,4552,22.83,1.9,Aaliyah BROWN,06 JAN 1995,USA,1sf3,"Eugene, OR (USA)",08 JUN 2017,1152,2017,women_200m
59,4552,22.83,1.9,Gabrielle THOMAS,07 DEC 1996,USA,1sf3,"Eugene, OR (USA)",08 JUN 2017,1152,2017,women_200m
60,4552,22.83,2.0,Brittany BROWN,18 APR 1995,USA,1f1,"Tucson, AZ (USA)",17 MAR 2018,1152,2018,women_200m
61,4552,22.83,-0.4,Jamile SAMUEL,24 APR 1992,NED,2f1,"Gainesville, FL (USA)",13 APR 2018,1154,2018,women_200m
62,4552,22.83,0.9,Mikiah BRISCO,14 JUL 1996,USA,2f1,"Coral Gables, FL (USA)",14 APR 2018,1152,2018,women_200m
63,4552,22.83,1.9,Kortnei JOHNSON,11 AUG 1997,USA,1f1,"Baton Rouge, LA (USA)",28 APR 2018,1152,2018,women_200m
64,4552,22.83,0.9,Justine PALFRAMAN,04 NOV 1993,RSA,1,Sasolburg (RSA),29 APR 2018,1152,2018,women_200m
65,4552,22.83,1.5,Kortnei JOHNSON,11 AUG 1997,USA,1h1,"Knoxville, TN (USA)",11 MAY 2018,1152,2018,women_200m
66,4552,22.83,1.0,Brittany BROWN,18 APR 1995,USA,1h1,"Sacramento, CA (USA)",25 MAY 2018,1152,2018,women_200m
67,4552,22.83,-0.2,Beth DOBBIN,07 JUN 1994,GBR,2,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1153,2018,women_200m
68,4552,22.83,-1.0,Phyllis FRANCIS,04 MAY 1992,USA,2,"Drake Stadium, Des Moines, IA (USA)",24 JUN 2018,1158,2018,women_200m
69,4552,22.83,1.1,Bianca WILLIAMS,18 DEC 1993,GBR,3sf1,"Olympiastadion, Berlin (GER)",10 AUG 2018,1152,2018,women_200m
70,4552,22.83,0.2,Shashalee FORBES,10 MAY 1996,JAM,2,Kingston (JAM),08 JUN 2019,1152,2019,women_200m
71,4552,22.83,-1.8,Teahna DANIELS,25 MAR 1997,USA,3sf1,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019,1162,2019,women_200m
72,4552,22.83,0.4,Blessing OKAGBARE,09 OCT 1988,NGR,5,"Alexander Stadium, Birmingham (GBR)",18 AUG 2019,1152,2019,women_200m
73,4552,22.83,-0.1,Bassant HEMIDA,28 SEP 1996,EGY,2sf2,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",29 AUG 2019,1152,2019,women_200m
74,4552,22.83,0.5,Lisa Marie KWAYIE,27 OCT 1996,GER,5sf3,"Khalifa International Stadium, Doha (QAT)",01 OCT 2019,1152,2019,women_200m
75,4552,22.83,0.3,Lieke KLAVER,20 AUG 1998,NED,1f1,"Putbosstadion, Oordegem (BEL)",29 MAY 2021,1152,2021,women_200m
76,4552,22.83,1.8,Quanera HAYES,07 MAR 1992,USA,6sf2,"Hayward Field, Eugene, OR (USA)",25 JUN 2021,1152,2021,women_200m
77,4552,22.83,1.4,Crystal EMMANUEL,27 NOV 1991,CAN,1,"Complexe Sportif Claude-Robillard, Montréal (CAN)",26 JUN 2021,1152,2021,women_200m
78,4552,22.83,0.2,Kortnei JOHNSON,11 AUG 1997,USA,2f2,"Marietta HS, Marietta, GA (USA)",09 JUL 2021,1152,2021,women_200m
79,4552,22.83,0.2,Riley DAY,30 MAR 2000,AUS,1,"Barlow Park, Cairns (AUS)",11 JUL 2021,1152,2021,women_200m
80,4552,22.83,2.0,Dalia KADDARI,23 MAR 2001,ITA,3,"Centro Sportivo Fontanassa, Savona (ITA)",18 MAY 2022,1152,2022,women_200m
81,4552,22.83,0.2,Mujinga KAMBUNDJI,17 JUN 1992,SUI,1f3,"Centre sportif Bout-du-Monde, Genève (SUI)",21 MAY 2022,1152,2022,women_200m
82,4552,22.83,1.5,Anna Jade KEEFER,26 DEC 1998,USA,3pr4,"Billy Hayes T& F Complex, Bloomington, IN (USA)",26 MAY 2022,1152,2022,women_200m
83,4552,22.83,-0.7,Marileidy PAULINO,25 OCT 1996,DOM,1h1,"Estadio Olimpico Juan Pablo Duarte, Santo Domingo (DOM)",25 JUN 2022,1156,2022,women_200m
84,4552,22.83,0.2,Brianna LYSTON,24 MAY 2004,JAM,1sf2,"Pascual Guerrero Stadium, Cali (COL)",04 AUG 2022,1152,2022,women_200m
85,4552,22.83,0.5,Shannon RAY,31 DEC 1995,USA,2f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",22 APR 2023,1152,2023,women_200m
86,4552,22.83,-0.2,Kaila JACKSON,30 JUN 2004,USA,1h6,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",11 MAY 2023,1153,2023,women_200m
87,4552,22.83,1.2,Ashley HENDERSON,04 DEC 1995,USA,4f1,"Vanderbilt Track, Nashville, TN (USA)",03 JUN 2023,1152,2023,women_200m
88,4689,22.84,0.0,Carla BODENDORF,13 AUG 1953,GDR,2sf1,"Olympic Stadium, Montréal (CAN)",28 JUL 1976,1151,1976,women_200m
89,4689,22.84,,Annegret RICHTER,13 OCT 1950,FRG,1h1,Köln (GER),13 AUG 1978,1151,1978,women_200m
90,4689,22.84,0.5,Tatyana ANISIMOVA,19 OCT 1949,URS,3,Leipzig (GER),24 JUN 1979,1151,1979,women_200m
91,4689,22.84,0.2,Kathy COOK,03 MAY 1960,GBR,4,Torino (ITA),05 AUG 1979,1151,1979,women_200m
92,4689,22.84,,Irena SZEWIŃSKA,24 MAY 1946,POL,2,Berlin (GER),17 AUG 1979,1151,1979,women_200m
93,4689,22.84,0.9,Sonia LANNAMAN,24 MAR 1956,GBR,3qf3,"Lenin Stadium, Moskva (URS)",28 JUL 1980,1151,1980,women_200m
94,4689,22.84,,Randy GIVENS,27 MAR 1962,USA,1h2,"Houston, TX (USA)",02 JUN 1983,1151,1983,women_200m
95,4689,22.84,0.5,Pam MARSHALL,16 AUG 1960,USA,1,"Irvine, CA (USA)",05 MAY 1984,1151,1984,women_200m
96,4689,22.84,1.7,Svetlana ZHIZDRIKOVA,27 AUG 1960,URS,2,Moskva (URS),20 JUL 1984,1151,1984,women_200m
97,4689,22.84,0.4,Anelia NUNEVA,30 JUN 1962,BUL,5,Praha (TCH),17 AUG 1984,1151,1984,women_200m
98,4689,22.84,,Grace JACKSON,14 JUN 1961,JAM,1,London (GBR),07 SEP 1984,1151,1984,women_200m
99,4689,22.84,,Rochelle STEVENS,08 SEP 1966,USA,1,"Charlottesville, VA (USA)",09 MAY 1987,1151,1987,women_200m
0,4689,22.84,-0.6,Pam MARSHALL,16 AUG 1960,USA,2h2,"Stadio Olimpico, Roma (ITA)",01 SEP 1987,1154,1987,women_200m
1,4689,22.84,1.3,Mary ONYALI-OMAGBEMI,03 FEB 1968,NGR,4f1,"Letzigrund, Zürich (SUI)",17 AUG 1988,1151,1988,women_200m
2,4689,22.84,,Andrea THOMAS,09 APR 1963,FRG,2qf3,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988,1151,1988,women_200m
3,4689,22.84,-0.3,Katrin KRABBE,22 NOV 1969,GDR,1,Schwechat (AUT),03 JUN 1990,1152,1990,women_200m
4,4689,22.84,1.1,Celena MONDIE-MILNER,06 AUG 1968,USA,7f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",12 JUL 1990,1151,1990,women_200m
5,4689,22.84,-0.5,Heike DRECHSLER,16 DEC 1964,GDR,1h2,"Poljud Stadion, Split (CRO)",29 AUG 1990,1154,1990,women_200m
6,4689,22.84,-1.1,Heike DRECHSLER,16 DEC 1964,GER,ce,Talence (FRA),10 SEP 1994,1157,1994,women_200m
7,4689,22.84,1.2,Galina MALCHUGINA,17 DEC 1962,RUS,1,Helsinki (FIN),28 JUN 1995,1151,1995,women_200m
8,4689,22.84,-2.2,Marina TRANDENKOVA,07 JAN 1967,RUS,7,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,1164,1995,women_200m
9,4689,22.84,-0.7,Beverly MCDONALD,15 FEB 1970,JAM,6f1,Zürich (SUI),16 AUG 1995,1155,1995,women_200m
10,4689,22.84,0.9,Beverly MCDONALD,15 FEB 1970,JAM,4,"Olympiastadion, Berlin (GER)",01 SEP 1995,1151,1995,women_200m
11,4689,22.84,-1.2,Irina PRIVALOVA,22 NOV 1968,RUS,1,Rieti (ITA),05 SEP 1995,1158,1995,women_200m
12,4689,22.84,2.0,Kisha JETT,11 FEB 1975,USA,4,"Eugene, OR (USA)",01 JUN 1996,1151,1996,women_200m
13,4689,22.84,0.6,Zundra FEAGIN-ALEXANDER,12 JUL 1973,USA,2,Hechtel (BEL),06 JUL 1996,1151,1996,women_200m
14,4689,22.84,0.3,Melanie PASCHKE,29 JUN 1970,GER,3qf2,"Olympic Stadium, Atlanta, GA (USA)",31 JUL 1996,1151,1996,women_200m
15,4689,22.84,0.1,Marina TRANDENKOVA,07 JAN 1967,RUS,5,Bruxelles (BEL),23 AUG 1996,1151,1996,women_200m
16,4689,22.84,-0.7,Melinda GAINSFORD,01 OCT 1971,AUS,1,Melbourne (AUS),20 FEB 1997,1155,1997,women_200m
17,4689,22.84,0.2,Cathy FREEMAN,16 FEB 1973,AUS,1,Brisbane (AUS),15 MAR 1997,1151,1997,women_200m
18,4689,22.84,0.0,Juliet CAMPBELL,17 MAR 1970,JAM,3,St-Denis (FRA),02 JUN 1997,1151,1997,women_200m
19,4689,22.84,-0.2,Merlene FRAZER,27 DEC 1973,JAM,2,"Stadio Olimpico, Roma (ITA)",05 JUN 1997,1152,1997,women_200m
20,4689,22.84,-1.3,Inger MILLER,12 JUN 1972,USA,h,"Indianapolis, IN (USA)",14 JUN 1997,1158,1997,women_200m
21,4689,22.84,-0.2,Falilat OGUNKOYA-OSHEKU,05 DEC 1968,NGR,1,"El Paso, TX (USA)",11 APR 1998,1152,1998,women_200m
22,4689,22.84,0.8,Shakedia JONES,15 MAR 1979,USA,1,"Westwood, CA (USA)",02 MAY 1998,1151,1998,women_200m
23,4689,22.84,0.4,Muriel HURTIS,25 MAR 1979,FRA,sf,Dijon (FRA),05 JUL 1998,1151,1998,women_200m
24,4689,22.84,0.0,Sabrina MULRAIN,10 JUN 1978,GER,1,Dessau (GER),01 AUG 1998,1151,1998,women_200m
25,4689,22.84,0.4,Beverly MCDONALD,15 FEB 1970,JAM,2,Sheffield (GBR),02 AUG 1998,1151,1998,women_200m
26,4689,22.84,0.7,Juliet CUTHBERT,09 APR 1964,JAM,5,Kingston (JAM),19 JUN 1999,1151,1999,women_200m
27,4689,22.84,0.5,Merlene OTTEY,10 MAY 1960,JAM,1,Cuxhaven (GER),23 JUL 1999,1151,1999,women_200m
28,4689,22.84,0.6,Chandra STURRUP,12 SEP 1971,BAH,7,Zürich (SUI),11 AUG 1999,1151,1999,women_200m
29,4689,22.84,-0.7,Mercy NKU,17 JUL 1976,NGR,1h7,"La Cartuja, Sevilla (ESP)",24 AUG 1999,1155,1999,women_200m
30,4689,22.84,0.0,Chandra STURRUP,12 SEP 1971,BAH,4qf1,"La Cartuja, Sevilla (ESP)",24 AUG 1999,1151,1999,women_200m
31,4689,22.84,0.6,Tayna LAWRENCE,17 SEP 1975,JAM,1,Basseterre (SKN),01 MAY 2000,1151,2000,women_200m
32,4689,22.84,-1.2,Nanceen PERRY,19 APR 1977,USA,h,"Sacramento, CA (USA)",22 JUL 2000,1158,2000,women_200m
33,4689,22.84,0.7,K.V. Damayanthi DARSHA,13 DEC 1975,SRI,1,Jakarta (INA),31 AUG 2000,1151,2000,women_200m
34,4689,22.84,-0.3,Beverly MCDONALD,15 FEB 1970,JAM,4sf3,"Commonwealth Stadium, Edmonton (CAN)",09 AUG 2001,1152,2001,women_200m
35,4689,22.84,2.0,Aleen BAILEY,25 NOV 1980,JAM,1,"Knoxville, TN (USA)",12 APR 2002,1151,2002,women_200m
36,4689,22.84,0.0,Natasha JOE-MAYERS,10 MAR 1979,VIN,4,Manchester (GBR),29 JUL 2002,1151,2002,women_200m
37,4689,22.84,-2.1,Susanthika JAYASINGHE,17 DEC 1975,SRI,1,Colombo (SRI),12 AUG 2002,1163,2002,women_200m
38,4689,22.84,1.6,Sharon CRIPPS,29 JUN 1977,AUS,2,Adelaide (AUS),06 FEB 2003,1151,2003,women_200m
39,4689,22.84,1.8,Allyson FELIX,18 NOV 1985,USA,2sf1,"Palo Alto, CA (USA)",22 JUN 2003,1151,2003,women_200m
40,4689,22.84,0.5,Kim GEVAERT,05 AUG 1978,BEL,4,"Stadio Olimpico, Roma (ITA)",11 JUL 2003,1151,2003,women_200m
41,4689,22.84,0.1,Cydonie MOTHERSILL,19 MAR 1978,CAY,2h6,"Stade de France, Paris-St-Denis (FRA)",26 AUG 2003,1151,2003,women_200m
42,4689,22.84,-0.4,Natalya VINOGRADOVA,28 FEB 1973,BLR,1,Rieti (ITA),07 SEP 2003,1153,2003,women_200m
43,4689,22.84,1.3,Debbie FERGUSON,16 JAN 1976,BAH,1,"Gresham, OR (USA)",05 JUN 2004,1151,2004,women_200m
44,4689,22.84,0.5,Christine ARRON,13 SEP 1973,FRA,1h2,Sotteville-lès-Rouen (FRA),17 JUL 2004,1151,2004,women_200m
