Rank,Mark,athlete_name,dob,country,pos,venue,date,results_score,year,discipline_key,discipline_label,wind,age,wind_legal
1246,54.45,Dalilah MUHAMMAD,1990-02-07,USA,1h4,"Hayward Field, Eugene, OR (USA)",2022-07-19,1190,2022,women_400h,Women 400m Hurdles,,32.4,True
1246,54.45,Rushell CLAYTON,1992-10-18,JAM,3,"Bregyó Athletic Center, Székesfehérvár (HUN)",2022-08-08,1190,2022,women_400h,Women 400m Hurdles,,29.8,True
1246,54.45,Savannah SUTHERLAND,2003-08-07,CAN,1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-10,1190,2023,women_400h,Women 400m Hurdles,,19.8,True
1269,54.46,Gianna WOODRUFF,1993-11-18,PAN,3,"Bislett Stadion, Oslo (NOR)",2023-06-15,1190,2023,women_400h,Women 400m Hurdles,,29.6,True
1281,54.47,Ronda WHYTE,1990-11-06,JAM,1,"Marietta HS, Marietta, GA (USA)",2021-07-09,1189,2021,women_400h,Women 400m Hurdles,,30.7,True
1281,54.47,Paulien COUCKUYT,1997-05-19,BEL,3sf1,"National Stadium, Tokyo (JPN)",2021-08-02,1189,2021,women_400h,Women 400m Hurdles,,24.2,True
1281,54.47,Shiann SALMON,1999-03-31,JAM,2,"Alexander Stadium, Birmingham (GBR)",2022-08-06,1189,2022,women_400h,Women 400m Hurdles,,23.4,True
1281,54.47,Zenéy VAN DER WALT,2000-05-22,RSA,3,"Alexander Stadium, Birmingham (GBR)",2022-08-06,1189,2022,women_400h,Women 400m Hurdles,,22.2,True
1281,54.47,Carolina KRAFZIK,1995-03-27,GER,1f1,"Stadion Śląski, Chorzów (POL)",2023-06-24,1189,2023,women_400h,Women 400m Hurdles,,28.2,True
1309,54.48,Anna HALL,2001-03-23,USA,1sf2,"Hayward Field, Eugene, OR (USA)",2022-06-09,1189,2022,women_400h,Women 400m Hurdles,,21.2,True
1309,54.48,Anna HALL,2001-03-23,USA,2f1,"Percy Beard Track, Gainesville, FL (USA)",2023-04-14,1189,2023,women_400h,Women 400m Hurdles,,22.1,True
1327,54.49,Sara GALLEGO,2000-10-11,ESP,5sf2,"Hayward Field, Eugene, OR (USA)",2022-07-20,1189,2022,women_400h,Women 400m Hurdles,,21.8,True
1348,54.5,Dalilah MUHAMMAD,1990-02-07,USA,1,"Ansin Sports Complex, Miramar, FL (USA)",2021-06-05,1188,2021,women_400h,Women 400m Hurdles,,31.3,True
1348,54.5,Janieve RUSSELL,1993-11-14,JAM,5,"Hayward Field, Eugene, OR (USA)",2021-08-21,1188,2021,women_400h,Women 400m Hurdles,,27.8,True
1348,54.5,Dalilah MUHAMMAD,1990-02-07,USA,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,1188,2021,women_400h,Women 400m Hurdles,,31.5,True
1348,54.5,Gianna WOODRUFF,1993-11-18,PAN,5,"Letzigrund, Zürich (SUI)",2021-09-09,1188,2021,women_400h,Women 400m Hurdles,,27.8,True
1348,54.5,Anna RYZHYKOVA,1989-11-24,UKR,3,"Stadio Olimpico, Roma (ITA)",2022-06-09,1188,2022,women_400h,Women 400m Hurdles,,32.5,True
1348,54.5,Viivi LEHIKOINEN,1999-08-27,FIN,1sf2,"Olympiastadion, München (GER)",2022-08-18,1188,2022,women_400h,Women 400m Hurdles,,23.0,True
1371,54.51,Lea SPRUNGER,1990-03-05,SUI,2,"Stadion Wankdorf, Bern (SUI)",2021-08-21,1188,2021,women_400h,Women 400m Hurdles,,31.5,True
1371,54.51,Anna RYZHYKOVA,1989-11-24,UKR,2sf1,"Hayward Field, Eugene, OR (USA)",2022-07-20,1188,2022,women_400h,Women 400m Hurdles,,32.7,True
1388,54.52,Janieve RUSSELL,1993-11-14,JAM,1h2,"Hayward Field, Eugene, OR (USA)",2022-07-19,1188,2022,women_400h,Women 400m Hurdles,,28.7,True
1412,54.53,Shamier LITTLE,1995-03-20,USA,2,"International Stadium, Gateshead (GBR)",2021-07-13,1187,2021,women_400h,Women 400m Hurdles,,26.3,True
1412,54.53,Lea SPRUNGER,1990-03-05,SUI,2,"Stadio Comunale, Bellinzona (SUI)",2021-09-14,1187,2021,women_400h,Women 400m Hurdles,,31.5,True
1412,54.53,Anna RYZHYKOVA,1989-11-24,UKR,5,"Stade Louis II, Monaco (MON)",2022-08-10,1187,2022,women_400h,Women 400m Hurdles,,32.7,True
1431,54.54,Dalilah MUHAMMAD,1990-02-07,USA,1,"Alexander Stadium, Birmingham (GBR)",2022-05-21,1187,2022,women_400h,Women 400m Hurdles,,32.3,True
1431,54.54,Britton WILSON,2000-11-13,USA,1h5,"Hayward Field, Eugene, OR (USA)",2022-07-19,1187,2022,women_400h,Women 400m Hurdles,,21.7,True
1454,54.55,Andrenette KNIGHT,1996-11-19,JAM,2h1,"National Stadium, Kingston (JAM)",2022-06-23,1187,2022,women_400h,Women 400m Hurdles,,25.6,True
1485,54.56,Anna RYZHYKOVA,1989-11-24,UKR,1h2,"National Stadium, Tokyo (JPN)",2021-07-31,1186,2021,women_400h,Women 400m Hurdles,,31.7,True
1506,54.57,Janieve RUSSELL,1993-11-14,JAM,4,"Stadion Śląski, Chorzów (POL)",2021-09-05,1186,2021,women_400h,Women 400m Hurdles,,27.8,True
1506,54.57,Dalilah MUHAMMAD,1990-02-07,USA,1,"Stadion Allmend, Luzern (SUI)",2022-08-30,1186,2022,women_400h,Women 400m Hurdles,,32.6,True
1542,54.59,Anna RYZHYKOVA,1989-11-24,UKR,2,"FBK Stadium, Hengelo (NED)",2021-06-06,1186,2021,women_400h,Women 400m Hurdles,,31.5,True
1542,54.59,Anna RYZHYKOVA,1989-11-24,UKR,2,"Stade Charléty, Paris (FRA)",2021-08-28,1186,2021,women_400h,Women 400m Hurdles,,31.8,True
1542,54.59,Anna RYZHYKOVA,1989-11-24,UKR,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-26,1186,2022,women_400h,Women 400m Hurdles,,32.8,True
1542,54.59,Gianna WOODRUFF,1993-11-18,PAN,4,"Stadio Luigi Ridolfi, Firenze (ITA)",2023-06-02,1186,2023,women_400h,Women 400m Hurdles,,29.5,True
1565,54.6,Viktoriya TKACHUK,1994-11-08,UKR,1f1,"Centre sportif Bout-du-Monde, Genève (SUI)",2021-06-12,1185,2021,women_400h,Women 400m Hurdles,,26.6,True
1565,54.6,Viktoriya TKACHUK,1994-11-08,UKR,1,"Avangard Stadium, Lutsk (UKR)",2021-06-20,1185,2021,women_400h,Women 400m Hurdles,,26.6,True
1565,54.6,Gianna WOODRUFF,1993-11-18,PAN,2,"Hilmer Lodge Stadium, Walnut, CA (USA)",2022-04-16,1185,2022,women_400h,Women 400m Hurdles,,28.4,True
1565,54.6,Ayomide FOLORUNSO,1996-10-17,ITA,1,"Stadio Guidobaldi, Rieti (ITA)",2022-06-26,1185,2022,women_400h,Women 400m Hurdles,,25.7,True
1565,54.6,Viivi LEHIKOINEN,1999-08-27,FIN,6sf2,"Hayward Field, Eugene, OR (USA)",2022-07-20,1185,2022,women_400h,Women 400m Hurdles,,22.9,True
1615,54.62,Viktoriya TKACHUK,1994-11-08,UKR,3,"Bislett Stadion, Oslo (NOR)",2021-07-01,1185,2021,women_400h,Women 400m Hurdles,,26.6,True
1615,54.62,Line KLOSTER,1990-02-27,NOR,6,"Stade Louis II, Monaco (MON)",2022-08-10,1185,2022,women_400h,Women 400m Hurdles,,32.4,True
1634,54.63,Gianna WOODRUFF,1993-11-18,PAN,3f1,"Vanderbilt Track, Nashville, TN (USA)",2022-06-05,1184,2022,women_400h,Women 400m Hurdles,,28.5,True
1651,54.64,Shiann SALMON,1999-03-31,JAM,3,"Hilmer Lodge Stadium, Walnut, CA (USA)",2022-04-16,1184,2022,women_400h,Women 400m Hurdles,,23.0,True
1674,54.65,Sydney MCLAUGHLIN,1999-08-07,USA,1h3,"National Stadium, Tokyo (JPN)",2021-07-31,1184,2021,women_400h,Women 400m Hurdles,,22.0,True
1674,54.65,Ayomide FOLORUNSO,1996-10-17,ITA,1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",2021-08-14,1184,2021,women_400h,Women 400m Hurdles,,24.8,True
1674,54.65,Britton WILSON,2000-11-13,USA,1h1,"Mike A. Myers Stadium, Austin, TX (USA)",2022-03-24,1184,2022,women_400h,Women 400m Hurdles,,21.4,True
1674,54.65,Viktoriya TKACHUK,1994-11-08,UKR,2sf2,"Olympiastadion, München (GER)",2022-08-18,1184,2022,women_400h,Women 400m Hurdles,,27.8,True
1674,54.65,Cathelijn PEETERS,1996-11-06,NED,2,"Estadio Iberoamericano, Huelva (ESP)",2023-06-06,1184,2023,women_400h,Women 400m Hurdles,,26.6,True
1691,54.66,Janieve RUSSELL,1993-11-14,JAM,3,"International Stadium, Gateshead (GBR)",2021-07-13,1183,2021,women_400h,Women 400m Hurdles,,27.7,True
1691,54.66,Ayomide FOLORUNSO,1996-10-17,ITA,4,"Olympiastadion, Stockholm (SWE)",2022-06-30,1183,2022,women_400h,Women 400m Hurdles,,25.7,True
1691,54.66,Janieve RUSSELL,1993-11-14,JAM,3sf1,"Hayward Field, Eugene, OR (USA)",2022-07-20,1183,2022,women_400h,Women 400m Hurdles,,28.7,True
1691,54.66,Masai RUSSELL,2000-06-17,USA,2,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-10,1183,2023,women_400h,Women 400m Hurdles,,23.0,True
1691,54.66,Sarah CARLI,1994-09-05,AUS,2,"Paavo Nurmen Stadion, Turku (FIN)",2023-06-13,1183,2023,women_400h,Women 400m Hurdles,,28.8,True
1711,54.67,Gianna WOODRUFF,1993-11-18,PAN,1,"Sports Park Mladost, Zagreb (CRO)",2021-09-14,1183,2021,women_400h,Women 400m Hurdles,,27.8,True
1711,54.67,Rushell CLAYTON,1992-10-18,JAM,3h1,"National Stadium, Kingston (JAM)",2022-06-23,1183,2022,women_400h,Women 400m Hurdles,,29.7,True
1711,54.67,Rushell CLAYTON,1992-10-18,JAM,4,"Alexander Stadium, Birmingham (GBR)",2022-08-06,1183,2022,women_400h,Women 400m Hurdles,,29.8,True
1711,54.67,Britton WILSON,2000-11-13,USA,1sf1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-08,1183,2023,women_400h,Women 400m Hurdles,,22.6,True
1711,54.67,Viivi LEHIKOINEN,1999-08-27,FIN,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",2023-06-30,1183,2023,women_400h,Women 400m Hurdles,,23.8,True
1733,54.68,Anna COCKRELL,1997-08-28,USA,1,"Hayward Field, Eugene, OR (USA)",2021-06-12,1183,2021,women_400h,Women 400m Hurdles,,23.8,True
1733,54.68,Amalie IUEL,1994-04-17,NOR,3sf2,"Olympiastadion, München (GER)",2022-08-18,1183,2022,women_400h,Women 400m Hurdles,,28.3,True
1733,54.68,Cassandra TATE,1990-09-11,USA,2,"Grand Bahama Sports Complex, Freeport (BAH)",2023-05-13,1183,2023,women_400h,Women 400m Hurdles,,32.7,True
1761,54.69,Jessie KNIGHT,1994-06-15,GBR,4,"International Stadium, Gateshead (GBR)",2021-07-13,1182,2021,women_400h,Women 400m Hurdles,,27.1,True
1761,54.69,Ayomide FOLORUNSO,1996-10-17,ITA,2h5,"Hayward Field, Eugene, OR (USA)",2022-07-19,1182,2022,women_400h,Women 400m Hurdles,,25.8,True
1784,54.7,Gianna WOODRUFF,1993-11-18,PAN,2,"Hilmer Lodge Stadium, Walnut, CA (USA)",2021-05-09,1182,2021,women_400h,Women 400m Hurdles,,27.5,True
1784,54.7,Amalie IUEL,1994-04-17,NOR,3h5,"Hayward Field, Eugene, OR (USA)",2022-07-19,1182,2022,women_400h,Women 400m Hurdles,,28.3,True
1809,54.71,Viktoriya TKACHUK,1994-11-08,UKR,5,"Stadio Luigi Ridolfi, Firenze (ITA)",2023-06-02,1182,2023,women_400h,Women 400m Hurdles,,28.6,True
1809,54.71,Rushell CLAYTON,1992-10-18,JAM,6,"Stadio Luigi Ridolfi, Firenze (ITA)",2023-06-02,1182,2023,women_400h,Women 400m Hurdles,,30.6,True
1836,54.72,Carolina KRAFZIK,1995-03-27,GER,2h5,"National Stadium, Tokyo (JPN)",2021-07-31,1181,2021,women_400h,Women 400m Hurdles,,26.3,True
1836,54.72,Britton WILSON,2000-11-13,USA,1sf3,"Hayward Field, Eugene, OR (USA)",2022-06-09,1181,2022,women_400h,Women 400m Hurdles,,21.6,True
1836,54.72,Viktoriya TKACHUK,1994-11-08,UKR,5,"Olympiastadion, Stockholm (SWE)",2022-06-30,1181,2022,women_400h,Women 400m Hurdles,,27.6,True
1868,54.73,Lina NIELSEN,1996-03-13,GBR,4,"Stadio Olimpico, Roma (ITA)",2022-06-09,1181,2022,women_400h,Women 400m Hurdles,,26.2,True
1868,54.73,Ayomide FOLORUNSO,1996-10-17,ITA,1f1,"Paavo Nurmen Stadion, Turku (FIN)",2022-06-14,1181,2022,women_400h,Women 400m Hurdles,,25.7,True
1888,54.74,Jessie KNIGHT,1994-06-15,GBR,1,"Mestský Stadion, Ostrava (CZE)",2021-05-19,1181,2021,women_400h,Women 400m Hurdles,,26.9,True
1888,54.74,Lea SPRUNGER,1990-03-05,SUI,3h5,"National Stadium, Tokyo (JPN)",2021-07-31,1181,2021,women_400h,Women 400m Hurdles,,31.4,True
1918,54.75,Janieve RUSSELL,1993-11-14,JAM,1,"National Stadium, Kingston (JAM)",2021-05-29,1181,2021,women_400h,Women 400m Hurdles,,27.5,True
1918,54.75,Lea SPRUNGER,1990-03-05,SUI,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,1181,2021,women_400h,Women 400m Hurdles,,31.5,True
1918,54.75,Janieve RUSSELL,1993-11-14,JAM,3,"Stade Charléty, Paris (FRA)",2021-08-28,1181,2021,women_400h,Women 400m Hurdles,,27.8,True
1918,54.75,Viktoriya TKACHUK,1994-11-08,UKR,3,"Stadio Comunale, Bellinzona (SUI)",2021-09-14,1181,2021,women_400h,Women 400m Hurdles,,26.9,True
1918,54.75,Gianna WOODRUFF,1993-11-18,PAN,7,"Hayward Field, Eugene, OR (USA)",2022-07-22,1181,2022,women_400h,Women 400m Hurdles,,28.7,True
1918,54.75,Hanne CLAES,1991-08-04,BEL,1f1,"Centre sportif Bout-du-Monde, Genève (SUI)",2023-06-10,1181,2023,women_400h,Women 400m Hurdles,,31.8,True
1948,54.76,Lina NIELSEN,1996-03-13,GBR,1f1,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",2022-04-29,1180,2022,women_400h,Women 400m Hurdles,,26.1,True
1948,54.76,Anna HALL,2001-03-23,USA,2,"Hayward Field, Eugene, OR (USA)",2022-06-11,1180,2022,women_400h,Women 400m Hurdles,,21.2,True
1975,54.77,Anna COCKRELL,1997-08-28,USA,1,"Katherine B. Loker Stadium, Los Angeles, CA (USA)",2021-05-16,1180,2021,women_400h,Women 400m Hurdles,,23.7,True
1975,54.77,Jessica TURNER,1995-08-08,GBR,1f1,"Putbosstadion, Oordegem (BEL)",2021-05-29,1180,2021,women_400h,Women 400m Hurdles,,25.8,True
1975,54.77,Shamier LITTLE,1995-03-20,USA,2h2,"Hayward Field, Eugene, OR (USA)",2022-07-19,1180,2022,women_400h,Women 400m Hurdles,,27.3,True
1975,54.77,Viktoriya TKACHUK,1994-11-08,UKR,2,"Stadio Quercia, Rovereto (ITA)",2022-08-30,1180,2022,women_400h,Women 400m Hurdles,,27.8,True
1996,54.78,Jessie KNIGHT,1994-06-15,GBR,1f1,"Pingles Stadium, Nuneaton (GBR)",2021-05-16,1180,2021,women_400h,Women 400m Hurdles,,26.9,True
1996,54.78,Jessie KNIGHT,1994-06-15,GBR,2,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",2021-08-14,1180,2021,women_400h,Women 400m Hurdles,,27.2,True
1996,54.78,Cara Nnenya HAILEY,1994-02-23,USA,4,"Stade Charléty, Paris (FRA)",2021-08-28,1180,2021,women_400h,Women 400m Hurdles,,27.5,True
2025,54.79,Jessica TURNER,1995-08-08,GBR,3,"Stadio Luigi Ridolfi, Firenze (ITA)",2021-06-10,1179,2021,women_400h,Women 400m Hurdles,,25.8,True
2025,54.79,Viktoriya TKACHUK,1994-11-08,UKR,6,"Letzigrund, Zürich (SUI)",2022-09-08,1179,2022,women_400h,Women 400m Hurdles,,27.8,True
2025,54.79,Ayomide FOLORUNSO,1996-10-17,ITA,2f1,"Stadion Śląski, Chorzów (POL)",2023-06-24,1179,2023,women_400h,Women 400m Hurdles,,26.7,True
2047,54.8,Viktoriya TKACHUK,1994-11-08,UKR,1h1,"National Stadium, Tokyo (JPN)",2021-07-31,1179,2021,women_400h,Women 400m Hurdles,,26.7,True
2047,54.8,Melissa GONZALEZ,1994-06-24,COL,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2022-06-03,1179,2022,women_400h,Women 400m Hurdles,,27.9,True
2047,54.8,Rushell CLAYTON,1992-10-18,JAM,5,"Stadio Olimpico, Roma (ITA)",2022-06-09,1179,2022,women_400h,Women 400m Hurdles,,29.6,True
2047,54.8,Viivi LEHIKOINEN,1999-08-27,FIN,6,"Olympiastadion, Stockholm (SWE)",2022-06-30,1179,2022,women_400h,Women 400m Hurdles,,22.8,True
2076,54.81,Janieve RUSSELL,1993-11-14,JAM,2h2,"National Stadium, Tokyo (JPN)",2021-07-31,1179,2021,women_400h,Women 400m Hurdles,,27.7,True
2076,54.81,Jessie KNIGHT,1994-06-15,GBR,1f1,"Thames Valley Athletics Stadium, Eton (GBR)",2021-08-28,1179,2021,women_400h,Women 400m Hurdles,,27.2,True
2076,54.81,Viktoriya TKACHUK,1994-11-08,UKR,2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2022-06-03,1179,2022,women_400h,Women 400m Hurdles,,27.6,True
2076,54.81,Cassandra TATE,1990-09-11,USA,4f1,"Vanderbilt Track, Nashville, TN (USA)",2022-06-05,1179,2022,women_400h,Women 400m Hurdles,,31.7,True
2076,54.81,Anna RYZHYKOVA,1989-11-24,UKR,2,"Bislett Stadion, Oslo (NOR)",2022-06-16,1179,2022,women_400h,Women 400m Hurdles,,32.6,True
2076,54.81,Zenéy VAN DER WALT,2000-05-22,RSA,4sf1,"Hayward Field, Eugene, OR (USA)",2022-07-20,1179,2022,women_400h,Women 400m Hurdles,,22.2,True
2076,54.81,Amalie IUEL,1994-04-17,NOR,6sf3,"Hayward Field, Eugene, OR (USA)",2022-07-20,1179,2022,women_400h,Women 400m Hurdles,,28.3,True
2109,54.82,Zenéy VAN DER WALT,2000-05-22,RSA,1,"McArthur Stadium, Potchefstroom (RSA)",2023-04-01,1178,2023,women_400h,Women 400m Hurdles,,22.9,True
2140,54.83,Jessica TURNER,1995-08-08,GBR,1,"Sportcity Regional Arena, Manchester (GBR)",2021-06-26,1178,2021,women_400h,Women 400m Hurdles,,25.9,True
2163,54.84,Ayomide FOLORUNSO,1996-10-17,ITA,6,"Stadio Olimpico, Roma (ITA)",2022-06-09,1178,2022,women_400h,Women 400m Hurdles,,25.6,True
2163,54.84,Jessie KNIGHT,1994-06-15,GBR,3,"Bislett Stadion, Oslo (NOR)",2022-06-16,1178,2022,women_400h,Women 400m Hurdles,,28.0,True
2218,54.86,Anna RYZHYKOVA,1989-11-24,UKR,3,"Olympiastadion, München (GER)",2022-08-19,1177,2022,women_400h,Women 400m Hurdles,,32.7,True
2218,54.86,Chastity PICKETT,,USA,3,"Mike A. Myers Stadium, Austin, TX (USA)",2023-06-10,1177,2023,women_400h,Women 400m Hurdles,,,True
2244,54.87,Anna RYZHYKOVA,1989-11-24,UKR,2,"Sports Park Mladost, Zagreb (CRO)",2021-09-14,1177,2021,women_400h,Women 400m Hurdles,,31.8,True
2244,54.87,Melissa GONZALEZ,1994-06-24,COL,1,La Nucia (ESP),2022-05-21,1177,2022,women_400h,Women 400m Hurdles,,27.9,True
2244,54.87,Britton WILSON,2000-11-13,USA,1h3,"John McDonnell Field, Fayetteville, AR (USA)",2022-05-28,1177,2022,women_400h,Women 400m Hurdles,,21.5,True
2244,54.87,Sara GALLEGO,2000-10-11,ESP,1,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",2022-06-11,1177,2022,women_400h,Women 400m Hurdles,,21.7,True
2244,54.87,Janieve RUSSELL,1993-11-14,JAM,2,"Grand Bahama Sports Complex, Freeport (BAH)",2022-08-21,1177,2022,women_400h,Women 400m Hurdles,,28.8,True
2244,54.87,Hanne CLAES,1991-08-04,BEL,3,"Estadio Iberoamericano, Huelva (ESP)",2023-06-06,1177,2023,women_400h,Women 400m Hurdles,,31.8,True
2270,54.88,Janieve RUSSELL,1993-11-14,JAM,1,"National Stadium, Kingston (JAM)",2021-06-05,1176,2021,women_400h,Women 400m Hurdles,,27.6,True
2270,54.88,Gianna WOODRUFF,1993-11-18,PAN,2,"Drake Stadium, Des Moines, IA (USA)",2022-04-30,1176,2022,women_400h,Women 400m Hurdles,,28.4,True
2270,54.88,Viivi LEHIKOINEN,1999-08-27,FIN,3,"Paavo Nurmen Stadion, Turku (FIN)",2023-06-13,1176,2023,women_400h,Women 400m Hurdles,,23.8,True
2303,54.89,Jessica TURNER,1995-08-08,GBR,1,"x-bionic sphere, Šamorín (SVK)",2021-06-02,1176,2021,women_400h,Women 400m Hurdles,,25.8,True
2303,54.89,Carolina KRAFZIK,1995-03-27,GER,1,"Eintracht-Stadion, Braunschweig (GER)",2021-06-06,1176,2021,women_400h,Women 400m Hurdles,,26.2,True
2303,54.89,Janieve RUSSELL,1993-11-14,JAM,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",2021-08-26,1176,2021,women_400h,Women 400m Hurdles,,27.8,True
2303,54.89,Jiadie MO,2000-01-06,CHN,1,Xi'an (CHN),2021-09-23,1176,2021,women_400h,Women 400m Hurdles,,21.7,True
2303,54.89,Jessie KNIGHT,1994-06-15,GBR,7,"Olympiastadion, Stockholm (SWE)",2022-06-30,1176,2022,women_400h,Women 400m Hurdles,,28.0,True
2303,54.89,Carolina KRAFZIK,1995-03-27,GER,1f1,"Universitätsstadion Am Biopark, Regensburg (GER)",2023-06-03,1176,2023,women_400h,Women 400m Hurdles,,28.2,True
2333,54.9,Paulien COUCKUYT,1997-05-19,BEL,3h2,"National Stadium, Tokyo (JPN)",2021-07-31,1176,2021,women_400h,Women 400m Hurdles,,24.2,True
2333,54.9,Rushell CLAYTON,1992-10-18,JAM,3f2,"Estadio Francisco Montaner, Ponce (PUR)",2022-05-12,1176,2022,women_400h,Women 400m Hurdles,,29.6,True
2333,54.9,Andrenette KNIGHT,1996-11-19,JAM,1,"National Sports Centre, Devonshire (BER)",2023-05-21,1176,2023,women_400h,Women 400m Hurdles,,26.5,True
2333,54.9,Cassandra TATE,1990-09-11,USA,1,"Parc des Sports C. Ehrmann, Nice (FRA)",2023-06-17,1176,2023,women_400h,Women 400m Hurdles,,32.8,True
2361,54.91,Anna HALL,2001-03-23,USA,1h1,"Ole Miss T&F Complex, Oxford, MS (USA)",2022-05-12,1176,2022,women_400h,Women 400m Hurdles,,21.1,True
2361,54.91,Amalie IUEL,1994-04-17,NOR,4,"Bislett Stadion, Oslo (NOR)",2022-06-16,1176,2022,women_400h,Women 400m Hurdles,,28.2,True
2361,54.91,Shiann SALMON,1999-03-31,JAM,2h4,"Hayward Field, Eugene, OR (USA)",2022-07-19,1176,2022,women_400h,Women 400m Hurdles,,23.3,True
2361,54.91,Taylon BIELDT,1998-11-04,RSA,4,"Paavo Nurmen Stadion, Turku (FIN)",2023-06-13,1176,2023,women_400h,Women 400m Hurdles,,24.6,True
2361,54.91,Janieve RUSSELL,1993-11-14,JAM,4,"Bislett Stadion, Oslo (NOR)",2023-06-15,1176,2023,women_400h,Women 400m Hurdles,,29.6,True
2411,54.93,Joanna LINKIEWICZ,1990-05-02,POL,4h5,"National Stadium, Tokyo (JPN)",2021-07-31,1175,2021,women_400h,Women 400m Hurdles,,31.2,True
2411,54.93,Viktoriya TKACHUK,1994-11-08,UKR,5,"Stade Charléty, Paris (FRA)",2021-08-28,1175,2021,women_400h,Women 400m Hurdles,,26.8,True
2411,54.93,Anna RYZHYKOVA,1989-11-24,UKR,2h1,"Hayward Field, Eugene, OR (USA)",2022-07-19,1175,2022,women_400h,Women 400m Hurdles,,32.6,True
2411,54.93,Anna RYZHYKOVA,1989-11-24,UKR,8,"Hayward Field, Eugene, OR (USA)",2022-07-22,1175,2022,women_400h,Women 400m Hurdles,,32.7,True
2411,54.93,Rushell CLAYTON,1992-10-18,JAM,1h2,"Alexander Stadium, Birmingham (GBR)",2022-08-04,1175,2022,women_400h,Women 400m Hurdles,,29.8,True
2445,54.94,Ronda WHYTE,1990-11-06,JAM,2,"National Stadium, Kingston (JAM)",2021-06-25,1175,2021,women_400h,Women 400m Hurdles,,30.6,True
2445,54.94,Anna HALL,2001-03-23,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",2023-03-31,1175,2023,women_400h,Women 400m Hurdles,,22.0,True
2485,54.95,Paulien COUCKUYT,1997-05-19,BEL,2f1,"Centre sportif Bout-du-Monde, Genève (SUI)",2021-06-12,1174,2021,women_400h,Women 400m Hurdles,,24.1,True
2485,54.95,Viivi LEHIKOINEN,1999-08-27,FIN,3h2,"Hayward Field, Eugene, OR (USA)",2022-07-19,1174,2022,women_400h,Women 400m Hurdles,,22.9,True
2485,54.95,Viivi LEHIKOINEN,1999-08-27,FIN,2f1,"Centre sportif Bout-du-Monde, Genève (SUI)",2023-06-10,1174,2023,women_400h,Women 400m Hurdles,,23.8,True
2485,54.95,Viktoriya TKACHUK,1994-11-08,UKR,3f1,"Centre sportif Bout-du-Monde, Genève (SUI)",2023-06-10,1174,2023,women_400h,Women 400m Hurdles,,28.6,True
2506,54.96,Carolina KRAFZIK,1995-03-27,GER,4sf1,"National Stadium, Tokyo (JPN)",2021-08-02,1174,2021,women_400h,Women 400m Hurdles,,26.4,True
2506,54.96,Viivi LEHIKOINEN,1999-08-27,FIN,1,"Centre sportif Bout-du-Monde, Genève (SUI)",2022-06-11,1174,2022,women_400h,Women 400m Hurdles,,22.8,True
2506,54.96,Lina NIELSEN,1996-03-13,GBR,2f1,"Universitätsstadion Am Biopark, Regensburg (GER)",2023-06-03,1174,2023,women_400h,Women 400m Hurdles,,27.2,True
2506,54.96,Jessie KNIGHT,1994-06-15,GBR,1,"Mestský Stadion, Ostrava (CZE)",2023-06-27,1174,2023,women_400h,Women 400m Hurdles,,29.0,True
2542,54.97,Shiann SALMON,1999-03-31,JAM,3f2,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",2021-05-31,1174,2021,women_400h,Women 400m Hurdles,,22.2,True
2542,54.97,Sara GALLEGO,2000-10-11,ESP,4,"Olympiastadion, München (GER)",2022-08-19,1174,2022,women_400h,Women 400m Hurdles,,21.9,True
2542,54.97,Gianna WOODRUFF,1993-11-18,PAN,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",2022-08-26,1174,2022,women_400h,Women 400m Hurdles,,28.8,True
2542,54.97,Viktoriya TKACHUK,1994-11-08,UKR,2,"Sports Park Mladost, Zagreb (CRO)",2022-09-11,1174,2022,women_400h,Women 400m Hurdles,,27.8,True
2542,54.97,Cathelijn PEETERS,1996-11-06,NED,4f1,"Centre sportif Bout-du-Monde, Genève (SUI)",2023-06-10,1174,2023,women_400h,Women 400m Hurdles,,26.6,True
2542,54.97,Cathelijn PEETERS,1996-11-06,NED,3f1,"Stadion Śląski, Chorzów (POL)",2023-06-24,1174,2023,women_400h,Women 400m Hurdles,,26.6,True
2570,54.98,Leah NUGENT,1992-11-23,JAM,3,"National Stadium, Kingston (JAM)",2021-06-25,1173,2021,women_400h,Women 400m Hurdles,,28.6,True
